#,,"generated_by='OpenQuake engine 3.19.0', start_date='2024-05-21T13:16:28', checksum=4043280846"
site_id,event_id,gmv_PGA
0,0,6.74453E-01
1,0,6.78937E-01
2,0,6.83152E-01
3,0,6.87094E-01
4,0,6.90749E-01
5,0,6.94110E-01
6,0,6.97170E-01
7,0,6.99920E-01
8,0,7.02356E-01
9,0,7.04470E-01
10,0,7.06257E-01
11,0,7.07712E-01
12,0,7.08833E-01
13,0,7.09614E-01
14,0,7.10060E-01
15,0,7.10161E-01
16,0,7.09921E-01
17,0,7.09339E-01
18,0,7.08419E-01
19,0,7.07162E-01
20,0,7.05571E-01
21,0,7.03651E-01
22,0,7.01406E-01
23,0,6.98842E-01
24,0,6.96126E-01
25,0,6.93363E-01
26,0,6.90558E-01
27,0,6.87713E-01
28,0,6.84765E-01
29,0,6.81531E-01
30,0,6.78011E-01
31,0,6.74209E-01
32,0,6.70137E-01
33,0,6.65806E-01
34,0,6.61221E-01
35,0,6.79249E-01
36,0,6.83796E-01
37,0,6.88067E-01
38,0,6.92061E-01
39,0,6.95766E-01
40,0,6.99171E-01
41,0,7.02273E-01
42,0,7.05060E-01
43,0,7.07531E-01
44,0,7.09673E-01
45,0,7.11483E-01
46,0,7.12959E-01
47,0,7.14094E-01
48,0,7.14886E-01
49,0,7.15334E-01
50,0,7.15440E-01
51,0,7.15196E-01
52,0,7.14607E-01
53,0,7.13674E-01
54,0,7.12401E-01
55,0,7.10788E-01
56,0,7.08843E-01
57,0,7.06570E-01
58,0,7.04022E-01
59,0,7.01406E-01
60,0,6.98743E-01
61,0,6.96034E-01
62,0,6.93277E-01
63,0,6.90295E-01
64,0,6.87017E-01
65,0,6.83446E-01
66,0,6.79591E-01
67,0,6.75461E-01
68,0,6.71069E-01
69,0,6.66419E-01
70,0,6.83779E-01
71,0,6.88386E-01
72,0,6.92713E-01
73,0,6.96758E-01
74,0,7.00511E-01
75,0,7.03960E-01
76,0,7.07104E-01
77,0,7.09926E-01
78,0,7.12426E-01
79,0,7.14596E-01
80,0,7.16429E-01
81,0,7.17926E-01
82,0,7.19076E-01
83,0,7.19878E-01
84,0,7.20332E-01
85,0,7.20438E-01
86,0,7.20192E-01
87,0,7.19595E-01
88,0,7.18651E-01
89,0,7.17361E-01
90,0,7.15731E-01
91,0,7.13761E-01
92,0,7.11459E-01
93,0,7.08998E-01
94,0,7.06488E-01
95,0,7.03931E-01
96,0,7.01323E-01
97,0,6.98601E-01
98,0,6.95579E-01
99,0,6.92255E-01
100,0,6.88636E-01
101,0,6.84728E-01
102,0,6.80543E-01
103,0,6.76092E-01
104,0,6.71384E-01
105,0,6.88025E-01
106,0,6.92691E-01
107,0,6.97073E-01
108,0,7.01170E-01
109,0,7.04970E-01
110,0,7.08464E-01
111,0,7.11644E-01
112,0,7.14502E-01
113,0,7.17033E-01
114,0,7.19232E-01
115,0,7.21087E-01
116,0,7.22599E-01
117,0,7.23766E-01
118,0,7.24578E-01
119,0,7.25038E-01
120,0,7.25143E-01
121,0,7.24896E-01
122,0,7.24292E-01
123,0,7.23337E-01
124,0,7.22034E-01
125,0,7.20382E-01
126,0,7.18389E-01
127,0,7.16116E-01
128,0,7.13767E-01
129,0,7.11367E-01
130,0,7.08915E-01
131,0,7.06409E-01
132,0,7.03663E-01
133,0,7.00601E-01
134,0,6.97235E-01
135,0,6.93569E-01
136,0,6.89611E-01
137,0,6.85373E-01
138,0,6.80868E-01
139,0,6.76098E-01
140,0,6.91968E-01
141,0,6.96692E-01
142,0,7.01132E-01
143,0,7.05281E-01
144,0,7.09130E-01
145,0,7.12665E-01
146,0,7.15884E-01
147,0,7.18779E-01
148,0,7.21340E-01
149,0,7.23562E-01
150,0,7.25442E-01
151,0,7.26972E-01
152,0,7.28150E-01
153,0,7.28974E-01
154,0,7.29439E-01
155,0,7.29546E-01
156,0,7.29296E-01
157,0,7.28687E-01
158,0,7.27723E-01
159,0,7.26404E-01
160,0,7.24734E-01
161,0,7.22724E-01
162,0,7.20548E-01
163,0,7.18316E-01
164,0,7.16033E-01
165,0,7.13694E-01
166,0,7.11228E-01
167,0,7.08451E-01
168,0,7.05351E-01
169,0,7.01944E-01
170,0,6.98233E-01
171,0,6.94228E-01
172,0,6.89941E-01
173,0,6.85381E-01
174,0,6.80555E-01
175,0,6.95588E-01
176,0,7.00374E-01
177,0,7.04872E-01
178,0,7.09074E-01
179,0,7.12972E-01
180,0,7.16551E-01
181,0,7.19811E-01
182,0,7.22738E-01
183,0,7.25329E-01
184,0,7.27580E-01
185,0,7.29479E-01
186,0,7.31029E-01
187,0,7.32221E-01
188,0,7.33055E-01
189,0,7.33526E-01
190,0,7.33634E-01
191,0,7.33382E-01
192,0,7.32767E-01
193,0,7.31793E-01
194,0,7.30461E-01
195,0,7.28777E-01
196,0,7.26802E-01
197,0,7.24748E-01
198,0,7.22640E-01
199,0,7.20474E-01
200,0,7.18246E-01
201,0,7.15762E-01
202,0,7.12952E-01
203,0,7.09817E-01
204,0,7.06371E-01
205,0,7.02619E-01
206,0,6.98569E-01
207,0,6.94234E-01
208,0,6.89623E-01
209,0,6.84746E-01
210,0,6.98868E-01
211,0,7.03715E-01
212,0,7.08272E-01
213,0,7.12529E-01
214,0,7.16477E-01
215,0,7.20102E-01
216,0,7.23403E-01
217,0,7.26366E-01
218,0,7.28991E-01
219,0,7.31266E-01
220,0,7.33190E-01
221,0,7.34757E-01
222,0,7.35964E-01
223,0,7.36806E-01
224,0,7.37285E-01
225,0,7.37396E-01
226,0,7.37143E-01
227,0,7.36522E-01
228,0,7.35540E-01
229,0,7.34196E-01
230,0,7.32500E-01
231,0,7.30636E-01
232,0,7.28712E-01
233,0,7.26727E-01
234,0,7.24687E-01
235,0,7.22506E-01
236,0,7.19997E-01
237,0,7.17155E-01
238,0,7.13989E-01
239,0,7.10504E-01
240,0,7.06715E-01
241,0,7.02624E-01
242,0,6.98242E-01
243,0,6.93586E-01
244,0,6.88657E-01
245,0,7.01797E-01
246,0,7.06702E-01
247,0,7.11315E-01
248,0,7.15628E-01
249,0,7.19628E-01
250,0,7.23303E-01
251,0,7.26645E-01
252,0,7.29648E-01
253,0,7.32305E-01
254,0,7.34611E-01
255,0,7.36557E-01
256,0,7.38145E-01
257,0,7.39367E-01
258,0,7.40220E-01
259,0,7.40706E-01
260,0,7.40821E-01
261,0,7.40567E-01
262,0,7.39943E-01
263,0,7.38954E-01
264,0,7.37601E-01
265,0,7.35950E-01
266,0,7.34221E-01
267,0,7.32427E-01
268,0,7.30574E-01
269,0,7.28651E-01
270,0,7.26457E-01
271,0,7.23924E-01
272,0,7.21054E-01
273,0,7.17857E-01
274,0,7.14338E-01
275,0,7.10512E-01
276,0,7.06382E-01
277,0,7.01958E-01
278,0,6.97257E-01
279,0,6.92281E-01
280,0,7.04380E-01
281,0,7.09329E-01
282,0,7.13991E-01
283,0,7.18356E-01
284,0,7.22405E-01
285,0,7.26129E-01
286,0,7.29518E-01
287,0,7.32562E-01
288,0,7.35257E-01
289,0,7.37593E-01
290,0,7.39568E-01
291,0,7.41177E-01
292,0,7.42415E-01
293,0,7.43283E-01
294,0,7.43778E-01
295,0,7.43897E-01
296,0,7.43645E-01
297,0,7.43020E-01
298,0,7.42023E-01
299,0,7.40666E-01
300,0,7.39137E-01
301,0,7.37546E-01
302,0,7.35889E-01
303,0,7.34168E-01
304,0,7.32300E-01
305,0,7.30088E-01
306,0,7.27530E-01
307,0,7.24636E-01
308,0,7.21411E-01
309,0,7.17860E-01
310,0,7.14000E-01
311,0,7.09833E-01
312,0,7.05371E-01
313,0,7.00629E-01
314,0,6.95612E-01
315,0,7.06649E-01
316,0,7.11496E-01
317,0,7.16304E-01
318,0,7.20707E-01
319,0,7.24799E-01
320,0,7.28568E-01
321,0,7.32003E-01
322,0,7.35090E-01
323,0,7.37824E-01
324,0,7.40197E-01
325,0,7.42202E-01
326,0,7.43836E-01
327,0,7.45096E-01
328,0,7.45980E-01
329,0,7.46485E-01
330,0,7.46613E-01
331,0,7.46364E-01
332,0,7.45739E-01
333,0,7.44739E-01
334,0,7.43440E-01
335,0,7.42056E-01
336,0,7.40606E-01
337,0,7.39087E-01
338,0,7.37493E-01
339,0,7.35619E-01
340,0,7.33388E-01
341,0,7.30810E-01
342,0,7.27893E-01
343,0,7.24641E-01
344,0,7.21062E-01
345,0,7.17171E-01
346,0,7.12971E-01
347,0,7.08475E-01
348,0,7.03694E-01
349,0,6.98637E-01
350,0,7.08827E-01
351,0,7.13701E-01
352,0,7.18286E-01
353,0,7.22574E-01
354,0,7.26818E-01
355,0,7.30618E-01
356,0,7.34090E-01
357,0,7.37218E-01
358,0,7.39992E-01
359,0,7.42402E-01
360,0,7.44442E-01
361,0,7.46106E-01
362,0,7.47392E-01
363,0,7.48296E-01
364,0,7.48817E-01
365,0,7.48956E-01
366,0,7.48714E-01
367,0,7.48092E-01
368,0,7.47098E-01
369,0,7.45932E-01
370,0,7.44696E-01
371,0,7.43391E-01
372,0,7.42017E-01
373,0,7.40484E-01
374,0,7.38595E-01
375,0,7.36350E-01
376,0,7.33754E-01
377,0,7.30816E-01
378,0,7.27541E-01
379,0,7.23936E-01
380,0,7.20017E-01
381,0,7.15787E-01
382,0,7.11259E-01
383,0,7.06446E-01
384,0,7.01354E-01
385,0,7.10676E-01
386,0,7.15573E-01
387,0,7.20179E-01
388,0,7.24488E-01
389,0,7.28486E-01
390,0,7.32162E-01
391,0,7.35788E-01
392,0,7.38943E-01
393,0,7.41750E-01
394,0,7.44196E-01
395,0,7.46270E-01
396,0,7.47969E-01
397,0,7.49283E-01
398,0,7.50213E-01
399,0,7.50756E-01
400,0,7.50911E-01
401,0,7.50681E-01
402,0,7.50066E-01
403,0,7.49144E-01
404,0,7.48134E-01
405,0,7.47049E-01
406,0,7.45894E-01
407,0,7.44655E-01
408,0,7.43120E-01
409,0,7.41222E-01
410,0,7.38964E-01
411,0,7.36352E-01
412,0,7.33396E-01
413,0,7.30099E-01
414,0,7.26474E-01
415,0,7.22530E-01
416,0,7.18274E-01
417,0,7.13717E-01
418,0,7.08874E-01
419,0,7.03751E-01
420,0,7.12192E-01
421,0,7.17108E-01
422,0,7.21731E-01
423,0,7.26056E-01
424,0,7.30069E-01
425,0,7.33760E-01
426,0,7.37121E-01
427,0,7.40141E-01
428,0,7.43107E-01
429,0,7.45576E-01
430,0,7.47679E-01
431,0,7.49409E-01
432,0,7.50756E-01
433,0,7.51715E-01
434,0,7.52284E-01
435,0,7.52462E-01
436,0,7.52249E-01
437,0,7.51654E-01
438,0,7.50883E-01
439,0,7.50034E-01
440,0,7.49108E-01
441,0,7.48108E-01
442,0,7.46936E-01
443,0,7.45397E-01
444,0,7.43491E-01
445,0,7.41221E-01
446,0,7.38597E-01
447,0,7.35626E-01
448,0,7.32313E-01
449,0,7.28669E-01
450,0,7.24704E-01
451,0,7.20425E-01
452,0,7.15844E-01
453,0,7.10975E-01
454,0,7.05825E-01
455,0,7.13370E-01
456,0,7.18300E-01
457,0,7.22937E-01
458,0,7.27275E-01
459,0,7.31300E-01
460,0,7.35001E-01
461,0,7.38373E-01
462,0,7.41402E-01
463,0,7.44084E-01
464,0,7.46412E-01
465,0,7.48679E-01
466,0,7.50429E-01
467,0,7.51802E-01
468,0,7.52790E-01
469,0,7.53388E-01
470,0,7.53593E-01
471,0,7.53404E-01
472,0,7.52901E-01
473,0,7.52301E-01
474,0,7.51620E-01
475,0,7.50858E-01
476,0,7.50004E-01
477,0,7.48840E-01
478,0,7.47301E-01
479,0,7.45391E-01
480,0,7.43116E-01
481,0,7.40483E-01
482,0,7.37500E-01
483,0,7.34174E-01
484,0,7.30514E-01
485,0,7.26532E-01
486,0,7.22234E-01
487,0,7.17633E-01
488,0,7.12744E-01
489,0,7.07571E-01
490,0,7.14207E-01
491,0,7.19147E-01
492,0,7.23794E-01
493,0,7.28141E-01
494,0,7.32175E-01
495,0,7.35883E-01
496,0,7.39262E-01
497,0,7.42298E-01
498,0,7.44986E-01
499,0,7.47318E-01
500,0,7.49287E-01
501,0,7.51049E-01
502,0,7.52432E-01
503,0,7.53438E-01
504,0,7.54060E-01
505,0,7.54291E-01
506,0,7.54138E-01
507,0,7.53804E-01
508,0,7.53384E-01
509,0,7.52879E-01
510,0,7.52289E-01
511,0,7.51514E-01
512,0,7.50359E-01
513,0,7.48824E-01
514,0,7.46916E-01
515,0,7.44638E-01
516,0,7.42000E-01
517,0,7.39010E-01
518,0,7.35675E-01
519,0,7.32003E-01
520,0,7.28008E-01
521,0,7.23697E-01
522,0,7.19080E-01
523,0,7.14173E-01
524,0,7.08981E-01
525,0,7.14701E-01
526,0,7.19647E-01
527,0,7.24300E-01
528,0,7.28652E-01
529,0,7.32691E-01
530,0,7.36404E-01
531,0,7.39787E-01
532,0,7.42826E-01
533,0,7.45518E-01
534,0,7.47852E-01
535,0,7.49823E-01
536,0,7.51427E-01
537,0,7.52659E-01
538,0,7.53681E-01
539,0,7.54312E-01
540,0,7.54561E-01
541,0,7.54505E-01
542,0,7.54355E-01
543,0,7.54118E-01
544,0,7.53795E-01
545,0,7.53368E-01
546,0,7.52617E-01
547,0,7.51477E-01
548,0,7.49953E-01
549,0,7.48052E-01
550,0,7.45779E-01
551,0,7.43141E-01
552,0,7.40149E-01
553,0,7.36809E-01
554,0,7.33131E-01
555,0,7.29128E-01
556,0,7.24806E-01
557,0,7.20178E-01
558,0,7.15259E-01
559,0,7.10054E-01
560,0,7.14851E-01
561,0,7.19799E-01
562,0,7.24453E-01
563,0,7.28806E-01
564,0,7.32847E-01
565,0,7.36561E-01
566,0,7.39945E-01
567,0,7.42985E-01
568,0,7.45678E-01
569,0,7.48013E-01
570,0,7.49985E-01
571,0,7.51589E-01
572,0,7.52821E-01
573,0,7.53676E-01
574,0,7.54153E-01
575,0,7.54433E-01
576,0,7.54531E-01
577,0,7.54555E-01
578,0,7.54499E-01
579,0,7.54359E-01
580,0,7.54023E-01
581,0,7.53297E-01
582,0,7.52179E-01
583,0,7.50674E-01
584,0,7.48788E-01
585,0,7.46525E-01
586,0,7.43895E-01
587,0,7.40908E-01
588,0,7.37569E-01
589,0,7.33891E-01
590,0,7.29885E-01
591,0,7.25559E-01
592,0,7.20925E-01
593,0,7.15998E-01
594,0,7.10786E-01
595,0,7.14656E-01
596,0,7.19602E-01
597,0,7.24253E-01
598,0,7.28604E-01
599,0,7.32642E-01
600,0,7.36355E-01
601,0,7.39736E-01
602,0,7.42775E-01
603,0,7.45466E-01
604,0,7.47800E-01
605,0,7.49770E-01
606,0,7.51373E-01
607,0,7.52604E-01
608,0,7.53458E-01
609,0,7.53935E-01
610,0,7.54119E-01
611,0,7.54220E-01
612,0,7.54428E-01
613,0,7.54537E-01
614,0,7.54553E-01
615,0,7.54244E-01
616,0,7.53545E-01
